essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
206,1,"dear local newspaper, agree computers impacted human society greatly. therefore, opinion @month1 one greatest inventions. would say different help programs websites @month1 help people everyday life. especially students ability study education webpages. also, people able communicate online. lastly, able type stories instead hand-writing them. advantage study online great. different websites tons information true facts @month1 really affect grades students. know @percent1 @location1 go educational websites information writing, whether essay non-fiction story? thanks computers, great chance students @month1 receive passing grade. communication online made huge impact worldwide. whether use facebook, @caps1, @organization1 etc., communicating family friends fantastic. example, use facebook love talking family @location2, see every couple years. online communication affected people easier way talk instantly. push button, immediate communication someone. finally, people ability type program wanted type letter story. instance, use microsoft word, type whatever want. effected people faster ans easier way write. therefore, finish earlier would typed it, would extra leisure time, time get rest work done. also, easy type like wind; practice, course. conclusion, invention computers helped still help society many ways. but, three ways chosen tell letter, feel, impacted us most. hope helps questions computers effected people. thank taking time read letter. good day.",5,5,10
207,1,"dear local newspaper, @caps1 computer harmful way. helps people learn things know. also lets people interact people around world. another lets people stay touch family friends around globe. computers harm, help. computers learning tool. schools like mine hundred computers used education. anyway even try go different sites get redirected blocked website. cars machines built computers supplied blueprints. one thing computers mostly used for, thats learn. thinking going vacation somewhere know things work around there? well computer help promblems. lets see people place looks like virtual tour. even assistance know traditions beliefs. computers great way explore. computers great way communicate others. family members live otherside world use computers talk see doing. old friends moved away. still talk communicate other. getting touch friends family bad it? reason show computers harmful anyway. gives people good education. lets people learn cultures places around world. talking friends something thats good, bad. computers harm people, help.",4,4,8
208,1,"dear newspaper editor, recently heard people think computers negative effect people. well think computers positive effect people. think computers positive effect people helps make learning countries easier. also, helps people talk people different countries. another reason helps people learn different cultures, religions, traditions. reason peope think computers negative effect people people spending time computer spending time family. also, people use computer use exercise machines, bicycles, scooters. know positive negative effects computers, side choose? one computers one computers. would choose one computers.",3,3,6
209,1,"dear local newspaper editor, @caps1 opinion effects computers people staying computer bad rot brain like video games. good reasons computers good help you. sometimes computers help hand-eye coordination. use computer homework search stores etc. computers really slow new ones @date1, computers also help read better little . could play talk people like friends. listening music easy thing could website songs like listen yo many people use computer find jobs use look ways eat right work paying bills online easyer paying real. computer easy way pay agree @caps1 opinion.",3,3,6
210,1,"dear newspaper, question whether people spending much time computer not. opinion people aren’t, many benefits computer. typing computer teacher hand-eye coordination. easy learn computer too, communicate people also! handeye coordination important. use everyday sports taking notes, even playing video games! computer good develops hand-eye coordination. whatever computer typing, playing online game, surfing web develop hand-eye coordination. good learn hand-eye coordination teachers days neat children type print papers, neater.if kids learn hand-eye coordination, type faster turn go computer hand-eye coordination. world cultures teacher lets us use online textbook dont finished homework class, instead logging around textbook. student would rather go online bring giant textbook school. ever thought much easier college course online. go college especially working parents? everything happens online portable laptop, instead go college. using computer learn different places easy. websites full pictures beautiful foreign places hot deserts, troppical rainfall monkeys tigers. fun easy learn computer. since cell phones become lot people gotten rid thier home phone save money. sometimes, though cellphones lose signal. good computer. eat talk people forums, chats websites email. intelligent,and easy free! east communicate using computer. surely heard reasons okay people spend time computer see point. yes people shall spend time outside family, small computer good you. easy learn hand coordination communicate computer.",4,5,9
211,1,"everyone thinks computers good good resorce find information. good compoler @num1 seven sometimes bad. person computer day nothing else except that, healthy all. people limit time much stay computer. dont due it! computers also good information said earlier. computer laptop need find information something internet there. kids need homework project need look facts information something could go computer that. much easier look books facts need. computers good qulities resources. arnt bad unhealthy unless life thing do. opinion computers.",3,3,6
212,1,"think people spending lot time computers enjoying nature things. reasons people anything except surf web, talk people time, site around eating junk exercise. three reasons. first reason people surf web. million websites go to. people go look things buy something. thing homework buisness. also people play many video games computer too. second reason people go @caps1 @caps2 use web cams. people could hours talking people. sometime things peoples life do. know someone @caps1 school talk people. friends @caps1 friends real life. third reason people go eat junk food get exercise. sometimes eat potato chips cookies soda. week tired sleepy. also get fat. body unhealthy shape. read reasons, hope like them. reasons people anything surf web, talk people time, people eat junk food get exercise.",3,4,7
213,1,"dear local newspaper, wanted say agree people spend lot time computer. reasons people need exersize, go doors. fun. keep reading understand need theis things. first reason exersizeing. reason say exersizeing need computer day long. many things do, run, jog, go bike rides. mean ok go computer learn that's books, school learn things. second reason going out-side reason people need get fresh air locked inside day. another one explore go hike see good time. reason nature. mean go zoo learn stuff to. another thing much computer day long. last reason talk friend stuff, go mall day, also hang friend sleep watch movies. need stay computer day need fun. say need computer. stuff still learn with-out computer. maby insed talking online actultly go friends house talk. thank time. hope talk soon.",4,4,8
214,1,"dear @organization1, @caps1 home computer. hours maybe even days since takin breath fresh air outside. @month1 sound cpzy, yet reality <@percent1@num1> population @location1. loo around movies, chain resurant home, office even schoold; computers everywhere. know using computers amny experts concerned people spending much time computers less time exercising enjoying nature, interacting family friends, say peopel every shold allowed use computer rain everday, say @caps2 computers. point computers days wasted vertual games downloads. starter, people spending much time computers less time exercising. past two years obeseity become major issue @location1 @percent1 population obeseity causesan ectreamly higher risk getting diseases sickness like diabeaties, heart failure even depression. recently cousin passed away canser caused fat obeseity. point can't sit nothing get get moving away computer addition people get computers start enjoying nature. total <@percent1@num2> personals @location1 spend enough time side. global warning killing environment people would care enouhg psend little girl time outside. didi know environment disappering day? went good friends expert things envieronmental instate clean world cow.",4,4,8
215,1,"dear @organization2, expressing concern side effect new technologies, computers humans. computers impact humans harmful manner people spending much @organization1 quality time computers additionally leads less time spent exercise. people also get spend much days outdoors interacting friends family. firstly, people spending much @organization1 time surfing net. study show average @caps1 spends total @num1 hours day computer, almost double spending it. dr. @dr1 @caps1 technology society, says' increases @organization1 time spent internet, continues years, @caps3 completly lose contact family friends outside @organization1 social computer network. average weight @organization1 @num2 year old increased @num3 pounds @date1, @num4 pounds today. statistics show main caus dramatic increase weight due acessive amount @organization1 time spent computers addition @caps4 much time exercise. teenagers need exercise three times week thirty minutes each. @caps5 average adolescent spend ten minutes week exercising including gym. @organization1 numbers must change way start would losing computer people spending much time less time exercising. secondly, comuters effecting people get go outside enjoy nature. form personal experience nature beautiful thing apart @organization1 @caps5 adays spend way much time social networks facebook, space @caps6 others. often go outside take walk, fo bike ride something else? study done @person2 shows average person living @location1 spent total @organization1 @num5 days outside past two years reciving new computer. must change people need enjoy world offer. thirdly, computers effected interaction family friends. ""@caps6 people hav interacting family mandatory times school meetings."" says @organization1. family friends major importance everyones lives. love sit talk mom steaming cup @organization1 hot chocolate. @percent1 @organization1 people days spend anytime family @percent2 @organization1 people use computers interact friends. vitally important people stop using computers ""before know lost communication family friends"" says @person1 i.u.m computers help people lose communication interaction fmily friends. conclusion, urge make right desion quitting using computers return much happier stronger individual. computers impact humans terrible way people spend much time leading lack exercise, time spent outside addition interaction friends family. sorry lack @organization1 organization towards end, ran @organization1 space. please excuse mess. thank you.",5,5,10
216,1,"dear @caps1 @caps2, i'm writing today see advanced technology positive effect people. reasons wrint computers allow people talk online others people learn faraway places, finally teacher hand-eye coordination. read letter hope fell way. first computers allow talk people online. reason feel way can't fond fone hose even cell phone, could see online. also thing texting, bigger keyboard/screen relate texting someone went online find whtm too, sent aims instead. hope see computers good people. secondly lot people go library look information paper school. reason feel way computer google make finding things easier. another reason going library @month1 cause send money fill gas tanks. relate everytim family goes library fill car go. another reasons computers good. finally computers teach hand-eye coordination. reason writing email know keys fingers touch. another reasons computers hand-eye coordination kid take karayta might learned move hands fast somewhere. relate ti first grade guy told friends need us get truck help find lost puppy, tried grabbing pulled hard away became pinned. hope see need computers. would like sitting reading essay. reasons writing people talk people online, learn faraway places, finally hand-eye coordination. hpoe rethink computers school.",4,4,8
217,1,"dear local newspaper, agree computers positive effect people. learn hand - eye coordination, step go library improve social skills. continue reading find why. computers, use everyday. teaching us something. @month1 even realize it, teaching us hand-eye coordination. type something use eyes look screen hands type, one mistake automatically hand fix it. maybe playing games online, thing applies. eyes looking, hands fast work keyboard. hand-eye coordination skill need sports, believe computers, since spend time quick way learn skill. next, many student's parents work? parents do. something becomes difficult walk library, everyone lives walking distance one. that's computer helps. project do, parents work, @organization1 up, might even get information, get library. hows that? ask. well, example, @caps1 project @caps2. let's say, managed go library, apparently @num1 books @caps2, @num2 checked out. always check another library, might come soon enough, survey @percent1 students said happened them, computer saved them. else say? hello @organization1! last least, computer improves social skils. first moved shy person. made @caps3, @caps4 talking people go school. even became friends them. i'm saying stop talking people person, use @caps3, @caps6, @caps7, @caps8 communicate. @caps9 saying start talking online, know little, talk person see alot common, person, soon become friends. another thing, somewhat related this. many friends living @location1, many cousins @location3, @location2, @caps9 over. @caps9 know, can't travel @caps9 time, sometimes can't even get see them. thats @caps10 social networks help. keep touch, plus @caps11.s. even waste minutes phone. get better? conclusion, computers positive effect people. improving hand-eye coordination, stepping go library, getting project done time a+ grade, improving socia skills. even see data collected. thank taking time effort read this, hope persuaded many people.",5,5,10
218,1,"@organization1, @caps1 @caps2 want kids & citizens get fat lazy? active, learn everyday skills become friendly life people around you? @percent1 parents would agree second idea first one. well think reading extra @percent2 persuaded. days @num1 @num2 people weight obese. causes lack exercise inactivity. children need learn @caps1 go exercise hour day. could got eyes computer screen. great way help encourage join sports team club. work people away screens @organization2 course. get people office could even push towards nature. great things @caps1 local park every day. example could ride bike play games fool around friends. learning could also big faster getting people computer chairs. want look tell use dictionary, theasaurus book. people computer teach kids drugs. bt @caps1 help find carrer options life. sitting front screen health also. better things @caps1. instead via internet. still fun good instance friends. boy could go @caps1 like park pay carrer base bill even wrestle. conclusion i'd say would want get get outside. since geting p side could help socialize learn even loose weight. leave hands whether take challenge. fill stay computer promote need glasses obesity.",4,4,8
219,1,"dear newspaper, @caps1 lately come attention people saying computers important. well, strongly disagree statement. think computers teach excellent hand eye coordination, give people ability learn far away places, even allow chat online family friends. computers teach lot hand eye coordination. study's show @percent1 football players excellent hand eye coordination. i'm sure football players get home big game something log @caps2 make thier status thier win. plus, probably pull pingball see long go without getting little ball hole. good hand eye coordination? second reason disagree previous statement would computers give people ability learn far away places without ever leaving home mean @caps1 much faster go library. library would first get there, secend pick book, third check @caps1 out. computer time could completely finished whole project! finally, reason computers important @caps1 keeps people touch. family members live far away you? @caps3 do. can't always call phone @caps4 want talk log @caps2 online conversation person. @caps3 i'm really close grandma. unfortanitly even live anywhere close @num1 hours me. way @location2 @location1. car thats one half days plane thats three hours! @caps1's much easier log @caps2 private conversation rather driving day half flying three hours. conclusion i'm sure totally agree me. computers amazing! help get hand eye coordination, let research something super quick, let stay touch far away friends family.",4,5,9
220,1,"dear @organization1, @caps1 home nothing do. cant play basketball @person1 friends hand eye cordenation. want learn @location1, arnt books. want talk friends. that’s would happend dident advances technology. handeye cordenation, wouldent able learn far way places coudent online. ccomputers benifit lives many ways. begin with, hand eye cordenation important. without @caps5 woudent able ware even hold pensil. @percent1 peoples hand eye cordenation emproved using computer. proven @date1 say @caps2 @person2, head human reactions. “@caps3 knows hands oversized part body, computer help movements hone hand eye cordenation.” – @person1 said @date2 interview sience magaziene. clumsy break things. importan things sumtimes, like @person3 @location2 broke mothers glass vase. @caps5 could helped used computer. addition, computers give us power learn faraway places. books! @percent2 people prefer looking information computer book. @caps5’s fact. people wouldent heard earthquake @location3 @caps5 wasent websights brodcasted updates @caps5. campers weudent heard. @organization2 front page spread promote use computers instead books. books could outdated computer always uptodate answers. also, people need able talk online. bisness meetings, governments plans, chatting friend. people need able stay tuch. presedent couldent vidio conference would flying everyware. emale way @person5 @caps4 talks coworkers. “ located far away, much easier.” @caps5 makes bissnesses major incoperations flow.”@caps6 way kids talk @caps5 seems.” @person4 says. @caps5 lets feel like part somthing biger are. now, @caps1 happy, healthy, educated young old amaricans. research whatever want. amazing technology does. @caps5 alows talk online research faraway places, practice handeye cordenation. sounds like good thing me! @organization1, computeristic fist good. agree @organization1!",5,5,10
221,1,"people @month1 think computers take much time important things. really everything would like know right there. learn nature, cool websites even history. reasons effect computers. first, learn much nature online. view many types animals study them. learn plant effect life. also, learn many things @location1 changing. secondly, many coll websites join. theres games play keep occupied day. even chat online friends maybe find long lost friends. school sites available students studying help. lastly, computers show much history. people things world famous people back compared famous people now. important all, life changing story changes peoples life today. hope i've enough agree me. see computers many resources learn learning websites history arent even half them. think about! thank listening",3,3,6
222,1,"computers @caps1 changed way world works today. stocks instant messaging (@caps2) people based important decisions life based read. although people believe computers pulling people away beauty nature, relatives, exersize. believe @caps11 helping world day today basis. one example conversation, many people close relatives seas, cross country, even across town. @caps1 helps speak others normally conversation with. several occasions, family planned trips together even though live across continent. could taken months letters mail took little one hour @caps1. another way speak friends family website called @caps3. @caps3 website allows speak to, @caps6 send pictures others. websites like @caps4 @caps5 @percent1 people @location1 account one websites. one way speak others, business reason, @caps6. multiple servers proud @caps6. @organization3, @organization2, @caps8. ""@organization3 personal favorite' says @person2 @caps9 @location2 @caps10 newspaper, ""@caps11 helped endlessly need contact someone short notice."" one reason support use computers. another reason support use computers <@percent1@num1> students rely @caps1 research papers assignments. ""even though still use books,"" college student, @person1 said.""the @caps1 much faster articles date. search @caps13 popularly used, @organization1 @caps14.com @num2, computer users @caps1 access @organization1 paint. another handy program provided computer companies @caps15 @caps16. program used everything research papers to. program also spell check, punctuation check, check mistakes. main reason writing paper experts complain people spending much time computer @caps11 distracting important things life. friends, family, nature. however, examples explained paper, shown @caps1 increases conversation curiosity world looks operates. exersise, @caps11 commonsense spend little one hour working personal fitness.",5,4,9
223,1,"dear @location1, think way people use computers bad because, @num1 int's good people's health, @num2 people use computers lots times, refuse spend time family friends @num3 find something that's computer going studying yourself. first reason computers bad effects people use computers, health issue. health important sitting front computer hours makes matters worst. way hunch back order see something small computer creen, hold mouse, waiting click onm something long period time, cause arthrities. second reason computers bad effects people use them. people computers & end sometimes refuse spend time family friends like example: @caps1 say week ago made promise family get together family, count come, @caps2 get computers, go neat websites never heard amazing right! wrong! know if, day family get together line hour @caps4 amke excuse come. breaks family's heat....my last reason why, computers bad idea learn another computer going ore fun traveling meeting people place @caps2 setting neck, back sore @caps3 right, think @caps3. also idsfun ear foods culture fing cool lame computers.(to sounds like good time invite family friends!) @caps4 therefore conclusion, personal opinion computers bad effects people health, cause later bacj neck problems maybe even activities. people use computers lot love spend time computers refuse spend time family friends, @num3 find something like culture land, go study instead going computers hours. hope opinion convinces others, hoe computers bad effects people use lott, take action hands right.",4,4,8
224,1,"@organization1, computers great effects positive towards people. @caps3 teaches hand eye cordanation, allows people learn far away places, talk people online. computers great positive effects everyone. computers teach hand eye cordanation. person typing using hands type looking monitor letters. computer games help teach @caps3 game things happen quickly person ee whats going click correct key fast thus improving hand eye @caps1 greatly. studys show people use computers @percent1 better hand eye @caps1 one dosen't. coumputers help hand eye @caps1 teach far away places. someone learn far away places searching online. get many facts place. sheral @location4 said heard one school mention @location2 know thing searched got ton facts."" shows computer help someone learn foiren countrys talk people far away. using computer soemone could talk hundreds thousands miles away. tehy e-mail video chat. @caps2 showed seven ten people prefer video chat @caps3 faster two people see other. however either way still fast ways contact person far away. jack @location1 said ""@caps3 video chat able talk see cousin @location3 almost never see. gos show computer positive thing people. computer helpful many ways teaches hand eye cordniation, allows people learn far away places allows people talk people. computers great thing everyone.""",4,4,8
225,1,"computers, @caps1 far we've come. computers hold many opertunities world and… use them. computers taken many left without excersize. computers fasinate many become adicting used moderation. computers also attention hogs take away interaction family. imagine seven years life sitting front computer. never get unless absolutely need to. even decide cut sports life. imagine body. even ate right, never excersising part woudl kill you. remember cousin @person2's house sugested play game @caps2 fit. never played before, sign in, tests determines age body. body @num1 years old. @num2 years old @num1 year old body. years gone front computer. want experience happen anouther. make mistake readers @location1 current. friend name @person1, computer addict. would spend days end computer. sometimes she'd miss school computer come school play computer. she'd sometimes get violent someone tried pull away. hated seeing friend like this, mostly hated watched happen. started innocent enough. enjoyed certain website internet. would sometimes get scary talked clearly played night. looking story thinking would never happen me, wrong. thinking way took look website got started. thankfully, stoped addiction got serious, many others like @person1 could absorbed computers. many readers reading right now, understand dangerous read is, ""@caps3!.... @caps3!... i'm talking you!"" sound family members trying talk computer. work, computers attention grabbing, can't even stand talk family. mom many times day grab attention ends calling cell phone i.ming me. thats really sad. also become detatched never good thing. ignore family computer less bond have, less life have. computers truly amazing, loss excersise unhealthy rapidly happening. computers also dangerous, many people get addicted. chat chat room strangers, less talk family. computers devils tools. certainly destroy you, readers. alway careful, computers seem.",6,6,12
226,1,"dear @caps1, @caps2 ten people spend time computers. believe people spend @caps3 much time computers hurt eyes. @month1 watch inappropriate videos pictures. lastly, bills get higher. know lot people spend time computers? well think sitting damage eyes. sit watch computer eyes starts hurt. go check eyes, doctor probably give glasses. second reason people go inappropriate sites watch inappropriate videos. one time friend sitting computer started watch inappropriate videos @caps3 father found this, canceled internet. imagine high bills would get? pay much money spending @caps3 much time computer, turn computer spend time friends. example, instead sitting computer @caps3 much, go outside play soccer, kickball more. conclusion, people stop spendinding @caps3 much time computers. computers hurt eyes sit much. people @month1 watch inappropriate videos. also bills get higher. seems people need different activities get computers. hope agree ideas.",4,4,8
227,1,"dear local newspaper, think computers good thing following three reasons. first, help people learn looking information different places. second, help people talk friends family using @caps2. lastly help people become less stressed playing computers games. learning important computers, able learn faster. computers help learn faraway places like @location1. much easier learn computer go library check book. working project needed last minute information, could go computer search topic. learning computer much convenvent going @caps1. another reason computers good talk friends family far away using something called @caps2. @caps2 allows someone talk another person using computer. people could live block half-way accrose world. cousin living spain semester college. i've skped many times. cool thing @caps2 acctually see person talking computer screen. @caps2 great way keep touch family friends faraway. last reason computers help lower stress level playing games. computer games alot fun play. games range @caps3 @caps4 word, @caps5 @caps6 beauty barn. computer games great way lower stress instead piking self much work, calming selfdown computer games. also gave educational games. like, country which. game teaches geoagrahy fun. computers great thing have. help learn faraway places, talk people live faraway play fun computer games. computers always going used never put waste. theres always something go computer.",5,4,9
228,1,"dear people newspaper, concerned people take much time computer could cause trouble, voilence, & illegal crimes. first, concerned people spend much time computer couses trouble, @date2, @percent1 @date1 people @location1, bad stuff like starting rumors, & saying bad stuff people dispise, @date1, @percent2 @date1 teens form ages @num1 envolven rumor spreading. would bad children. reasons lead @num2 below. secondly, concerned people spend much time computer couses voilence, @date1 reasons started @num3 paragraph, continues, @month1 & lead voilence, @date1 @num4 people died crimes online. @num5 threats found online big websites like @caps1, @caps2 & @caps3. lastly, concerned people spend much time computer could lead illegal crimes, @date3 girl talking boy online decided meet, shot & killed her. turned person lied online, @caps4 website online, group @date1 men talking much hated kids decided shot @ bus stops. thank god police caught crime conclusion, concenred people spending much time computer causes trouble, voilence, & illegal crimes. @caps5 like totally needs stop everyone addicted spreading rumors. thank time reading letter",4,4,8
229,1,"dear readers, everyone now-a-days computer. could good thing mostly unnatral. people things before; people move need send letters one another, wait days reply. sign aim, facebook, myspace. talk time. thats good things bad. people spend less time outside look butey anymore. spend time friends more. can't even remember last time face face convetation soemone to. people internet anything want. @month1 saying thats good thing. right? well answer no! people hack almost everything. people cyber bully others one ever knowing person is. people also one want online. say @num1 wanted stalk little @num2 years old could also pretend ten pretend make friends ten year old. found enough information would able find ten year old. people wern't able this. people start see heppening exsistence people would stop stached @num3 computers. people would start cut amount time spend computers start live. take action! take notice! start spreding word!",4,4,8
230,1,"dear @caps1, @caps2 would want spare time? would go outside maybe @caps3 soccer ball around kids, grab bag chips log onto facebook email? question is, computers negative positive effect people. believe computers negative effect. talking friends computer let learn social skills. going computer also addicting. finally, take's away exercise need. @caps4 careful consideration agree computers negative effect people. facebook, ichat email fun easy ways talk friends family online. however, really gaining social skills this? talking friends family online help good social skills. first meet someone person, likely want @caps4 @caps2 say act. typing keyboard really let interact people. @caps6 invite someone over, go lunch family istead? computers also addicting. say log onto computer, might next hours. case many people too. going computer addicting. il @caps4 everyone using computer daily basis vast majority people are. i'm facebook see number people online one hundred even two hundred, time goes by, number increases. computer addicting leads getting enough exercise. doctors say adults kids get atleast hour exercise day. going computer takes away time. instead sitting computer hour, could getting hour exercise. instead lot times someone @caps5 computer, snack goes them. adds onto fact @caps6 getting exercise important stay healthy. @caps4 would feel lot better went run instead going computer. probably saying time manage both, people would rather exercise. people see computer, @caps2 kind example set? everyone limited time computer would feel lot better social. trust agree computers negative effect people.",5,4,9
231,1,"dear @caps1, @caps2 people find clicking clacking computers nuscense. realize thay helping youths lives making easier could them. computers good effect people. first computers arn't bad thing helping people get know better. always see ad's dating websites things like that. know @percent1 couples meet online. thats lot think would never wern't computers. second computers provide tremendous amount entertainment. @num1 computer games online. @caps2 free too. bet almost every kids played game internet before. think child could getting trouble nice safe home playing computer. probably thinking, computers sound childish infantile. well computers arn't fun games. provide lot information. useful teens school projects, benefit adults many ways too. provides information vacations, hotels, ext. also computers videos things like useful information. see computers arn't pain. help bring people together, provide entertainment useful information. think it. computer might save life one day. computers help peoples every day lives could helping yours.",4,4,8
232,1,"lately, technology buzz hit world. ever look, home, school, work, streets, see people texting, talking phones, blogging, computer related things. concerns people. believe generations relying much computers spending enough time exercising outside socializing. go wrong. experts judging computers harshly, like everyone zoning front glass screen, sucked world beyond. @caps9, ""computer geeks"" using computer useful things, also used entertainment, computers also help society reconnect long-lost friends even get directions well-know resuraunt. plainly see, computers turning us zombies. computers sometimes seen nusence. parents complain many times drag sons daughters screen dinner soccer game started @num1 minutes ago. see, mean bad. everyone goes computer. ""even though father complains i'm @caps1 much,"" @person1, @organization1, says. ""@caps2 forgets @caps2 one own."" example unlike many student's parents. @percent1 adults confess fallen new fads @caps1, @caps4, @caps5. need things? seems make important us? answer simple, makes us feel connected. again, think it, maybe simple. many people different opinions computer important them, agree friends one big factor. ""everyone already online."" @person2, computer technician, informs. ""@caps6 friends something, want well?"" @caps7, famous saying, @caps8 friends jumped bridge, would you?, flashes mind let answer - @caps9. connected diving deep ends different concepts. find friends highschool friends school, glad @caps7 talk face face - computer screen computer screen - again. last, certainly least, computer great resource. people complain, others using offer looking directions events facts next report. websites like @organization2 make billions words typed search engine. facts places arise computr like gems waiting found. conclusion, easy see computer resources loved. everyone uses different things different hobbies. whilesome pure entertainment, others information, another reconnection. personal favorite finiding true treasure hidden bands, fantastic ones, @caps9 one even knows. so, i'm convinced computer positive impact world.",6,6,12
233,1,"dier: newspaper thingk computers beneficial consequencial. computers beneficial thy entertainment, inforormational super yousfall., injoy cool vidio youtud older pepole mite wash news. also send mail, semplr. sanding ordnery envelope. wating days even weeks depnding live wegth e-mail get ther mater secons, big deforents right. pepol depend computers uploud inpotan informashon pepol palands poles army yous internet computers control speshol equenent like @caps1.a.v. army everiday monrting sestoms policeofficer. mayself yous computer resrech school slot like math history computer arnt good pepole abyous it. pepol hack computers steel importen information make life misardol effact haus onlin players spend countless howsr playing mak game wat, stend les time weth frend fameli thy play offen ther eight weekends required glasses, computers complateley replace newsepaper.",4,3,7
234,1,"many people think computers good thing. think people spend much time computer getting less exercise. also concerned looking screen could damaging eyes. statements maybe true. believe computers beneficial. talk people places. could learn places world. also use computer research topics. first off, computer talk people. whether webcam one networks @location1 chat other. computer chat talk people without phone paying bill it. example, family another country one way always talk computer. talk webcam chat. calling someone another country phone gets really expensive. computer would great contact @caps2 family another country. addition, use computer look foreign countries. many people including @caps2 parents used computer look read countries. @caps2 mother, whenever @caps1 plans vacation, looks country going gets information it. like @date1 went hot exotic place, @caps2 mom looked see pack go there. computer might packed wrong items. lastly, computers great source researching. can't tell many times used computer research. books encyclopedias great sources computer much offer. many links go sites. find pictures, videos, maps, much more. used computer many times research, sometimes requirement sites gone research project school something. computer home build computer skills school. computers positive thing negative. talk people without expensive phone bill. learn places cultures. also, use researching purposes. computers @caps3!",4,4,8
235,1,"@month1 concern, feel computers great people lives. one use almost everything. two computers good many ways. shouldnt affect dailey schedule family. people use computers almost everything one hundred websites computer. example, play games different kinds, also chat people, litsen music, watch videos, look places whole lot more. computers useful many different ways. computers also good you. help eye cordination. also go online practice math, social studies, etc. internet also lot eduacting games whiten good people extra help. also helps hand cordinations computer need know type. get realy good type without looking. computer get dailey schedule whay u family. computer computer go need something go fun example havea computer house someone goes everyday never affect everybody us kids still go school parents still go work, eat dinner together do, computer never gets way. conclusion know computers good peoples houses. one use almost everything. two computers good you. three shouldnt affect daily schedule anyway.",3,4,7
236,1,"dear newspaper people think computers good wat family member gose town want stay tuch dont phone go-on chatting web sight stay them. @caps1 bored go google look pichers play games. look one think find something elsa, cech eyes. computers good ever go, look project school. bur ween school help spelling, u got know wat contrey people @caps2 find ancer fast snap. computers advanceing every year. seart @caps2 screan mouse, got laptops tack every were. people get exercis thay want thay enjoy nature thay bring laptop. exercising go right youtube lison musick wach funny videos. thats whay think computers good.",3,3,6
237,1,"dear @caps1 @caps2 @caps3, writing letter state opinion effects computers people. three them: @caps4 theft, cyberbully, addition. write one paragraph each. first reason feel computers bad effects is. @caps4 theft many people @caps5.s.a identities get stolen listing private information online (computer) leave person lot debt. going encourage people use computers risk getting @caps4 stolen. happening innocent people needs stop must'nt encourage online behavior say computers. understand really interesting learn people different countries cons. talking online people know never seen, met person pose someone famous bully enjoyment. proven children even adults get cyberbullied lead path depression even suicide. find quite febble-minded give life computer. say computers. last reason say computers people become addicted excitement computers eventually lead division friends family lost computer world also forget hygene people even forget eat. thing call computer drug, drug makes forget reality everything else used think bring computer land. say computers. gave opinion three supporting reasons feel way @caps4 theft, cyberbullying, addiction. say @num1 computers.",4,4,8
238,1,"dear newspaper strongly agree experts computer's. support advances technology believe computer's positive effect people. say computers teach us hand-eye coordination, give people ability learn faraway places even allow people talk others online. theese effects true many bad effects dont like say. computers also effect people's visiion really close screen, computers really addicting many people around world bearly excercize moving many people big problem n days obesity. computer's also tend take lot time away people's lives. way see although computer's positive effects people change positive effects better way keep fit seeing places eyes, like get practice hand-eye coordination simply getting friend pass tennis balls back forth quick time exercizing to. also computer talk friends online talk phone far away n go outside catch fresh air n live close talk person instead. want learn certain far away place visit place instead. many things computer better. yet im saying computer bad all. agree good bad effects computers well things world live in. opinion honestly think bad effects good effects computer's.",4,5,9
239,1,"personally think people spend much time computer. one reason people spend much time computer people spend much time enough time exercising. another reason people enjoying nature. finally, last reason people spending less time interacting family ans friends. first reason people spend much time computer bacause spenfing time exercising. people end getting fat sit around computer. people running going gym instead going computer. even equipment house exercis still better going computer getting exercise all. people spent much time exercising spend computer, average weight human go way down. another reason people should't spend much time computer people spending less time enjoying nature. people outside getting fresh air instead inside computer day. personally would way rather outside playing baseball getting fit inside computer getting fat. even look nature via comuter, still wan't actually outside experiencing yourself. people waould spend much time enjoying nature computer. would living much healthy clean word. last reason think people spend much time computer spending less time interacting family friends. people could dark room day, isolated everyone came computer. right covered spending quality time friends family, instead spending time computer. person spends time computer everyone care gradually slipping away even know it. see, would much better people spend time exercising, enjoying nature, interacting family friends spending time computer. even spend alot time computer yet, gradually spend time everyday eventually do.",5,4,9
240,1,"dear @caps1, letter telling opinion computer. yes people spend time computers lot, computers helpful many ways. computers help us job, school, work ect. example science. im @num1 grade. teacher @person1 gives us homework; every @date1, @organization1 @num2 facts anything want write about. lot people look bears @organization2 assigment bears. jobs; secreatenes always use computer everything school secreaterys teachers use computers attendance, grading. check you, attendance, grade, phone number schedule. communication, dad computer wuth family @location1. talk know they've been, know whats new. like week ago chating cousin told dog @num3 puppies. family also uses computer, order. uncle went ticketmaster.com ordered two tickets wwe. also orders flight tickets computer, go @location1. well point people use computer lot are, helpful many ways. good computer good outside enjoy nature live life exercise shape, health. @caps1 hope enjoy understand opinion computers. thank taking time reading really appreciate it.",4,4,8
