,Essay_id,Essay_set_id,Essay
134,134,7,young didnt much patienc would get angri quickli couldnt control temper never fun got mad definit didnt toler anyon didnt meet standard thank ive grown lot person sinc know time alway difficult need remain patient need rememb peopl alway best need rush thing look back realiz patienc key ongo success never patient would given dream long ago would live life never want wasnt anywher near fulfil one lesson learn everyon patienc key rememb your hard time manag anger reach someon trust help never late learn better person
135,135,7,alway feel better patient know difficult sometim tri put thing perspect know thing may happen overnight trust eventu may easi worth end
136,136,7,patienc virtu requir mani aspect life sometim difficult maintain patienc get angri thing dont go way want howev patienc key ingredi success someth often reward posit outcom opinion patienc import virtu allow us control emot abl think ration time impati struggl patient difficult usual emot didnt like wait fact wait one worst thing could happen made anxiou stress howev eventu learn patienc import sometim key achiev goal patienc someth easi learn extrem reward
137,137,7,last night 6 year old realli hard time tri fall asleep kept climb bed brother get realli frustrat tri talk read stori even sung lullabi noth work final decid give go bed 6 year old frustrat also patient understand hard time yell get mad let cri littl bit tri encourag easi eventu fell asleep long night patient
138,138,7,patienc someth think realli import know sometim realli hard patient especi thing dont go way right away sometim import rememb thing eventu work worth take thing slow wait right time someth think patienc someth that realli import life everyth
139,139,7,fouryearold daughter didnt want practic piano knew would long ongo process tri everi techniqu get enjoy practic session eventu patient consist daughter learn practic get better piano im grate abl patient help get today
140,140,7,earli twenti gyula never ridden bu train knew navig bike citi street ride bu total new experi first time need get earli morn wait line long time final got bu patient get impati even though seem like bu take forev get stop week later gyula decid tri ride train first time seem like hour realiti minut patient get impati matter long took amaz smoothli train ride went quickli arriv destin
141,141,7,patienc virtu often underr difficult patient thing go wrong import rememb understand grandmoth truli patient woman even though lot frustrat world never show us would sit494 hour end wage intern battl wait turn line child come home school constantli remind us would time everyth never complain even line groceri store long traffic bad your struggl patient rememb grandma perfect exampl may hard first becom understand toler youll eventu abl handl difficult situat grace
142,142,7,drive home work got flat tire frustrat couldnt even speak get husband chang tire frustrat patient wait good husband
143,143,7,patienc someth practic lot life younger hard time sit still extend period time alway want move someth think that end fastpac person would alway get bore easili restless recent patient car shop realli eager get back kept check websit messag board see said done wait said readi got said still need work disappoint understood went back home wait coupl day car final readi happi couldnt believ think patient paid end peopl realli good patient sit long lectur without get antsi agit stay calm tough disagr sometim difficult patient worth end
144,144,7,mother alway patient person younger would alway get frustrat would wait long finish homework im older understand love would alway tell would take time learn grow need patient even though difficult tri rememb taught grate patienc
145,145,7,littl brother three want learn ride bike mom super patient teach stepbystep balanc pedal hour end patient work eventu abl ride without us mom incred proud learn experi us patient brother
146,146,7,know hard patient sometim realli import dont patienc never get want alway tri patient sometim thing take long time happen alway hard wait worth end
147,147,7,patienc definit valuabl dont think would possibl healthi life without sometim thing frustrat feel like cant move forward everyth right instead lose patienc rememb patient sometim thing take longer expect feel like run clock patienc definit valuabl thing help us adapt difficult situat great virtu life frequent patienc allow us prevail difficult situat find feel impati time rememb import patienc there need lose focu get frustrat rememb patienc key pay end
148,148,7,difficulti understand math problem tri patient figur minut final got proud abl remain patient
149,149,7,rememb time grandma took forev make quesadilla would get frustrat would alway tell patient would tri follow advic hard sometim cant say alway manag stay calm certainli learn patient
150,150,7,patienc import virtu someth make differ world come achiev goal sometim difficult patient worth end one time wait line groceri store behind group peopl take forev get item get frustrat manag calm wait turn eventu got item way got home put groceri away start cook dinner prepar dish go make realiz forgotten buy ingredi quickli went store came back home unfortun time got back dish cook burn didnt let get angri calmli put dish trash start prepar anoth one realli difficult patient worth end patient mean dont get angri easili mean wait turn dont get frustrat mean dont give easili
151,151,7,patienc someth definit known thing get realli tough often find yell give that alway best solut learn hard way one time wait line store seem like forev get angri peopl front take time flip phone start yell made situat wors end get kick store realli mad patient tri understand peopl take time turn realli busi lesson stuck nowaday tri patient know thing go take time matter much might want happen faster rememb one time friend play video game take forev beat level impati start scream end kept cool patient knew everyth
152,152,7,grandmoth one patient peopl know lot life never complain alway understand toler never given anyth even thing tough never lose hope inspir know could learn lot
153,153,7,patienc import life even doesnt alway feel way difficult time patienc mandatori whether long line crowd peopl dont understand sometim patienc feel like bad qualiti like your pushov weak realli patienc trait help lot situat one time stuck long line groceri store probabl worst experi ive ever impati deal line time made front irrit didnt even tri bargain groceri paid went home wasnt time patienc import also time wait best friend come late split pizza kept late get frustrat angri forc patient didnt start call everi five minut anyth let know much wait final show ate pizza
154,154,7,grandma use say life make sometim take figur took learn patienc key ingredi success throughout life ive learn patient come academ athlet career high school top student class struggl math scienc decid pursu career track field begin success made varsiti cross countri team even place second region competit howev math scienc success determin continu succeed switch rigor math scienc prep cours still succes persist slowli sure got better still best class get closer even becam captain cross countri team howev career track field compet state championship confid could win wrong finish last
155,155,7,yesterday littl sister realli sick cough hard eye red runni couldnt believ littl sister love matter patient wait side tri get breath back normal tough stay final woke smile that patient person stand love one help toughest time
156,156,7,patienc import lot thing life mean handl difficult situat calmli without get anxiou upset also import thing take long time like wait line play wait game hard patient sometim definit worth long run
157,157,7,patienc valuabl abil take time build sometim difficult keep go thing get tough find patienc work difficult time youll abl achiev great thing one time wait line turn buy lunch realli hungri hadnt anyth eat morn patient wait turn turn bought lunch without complain anoth time mom drive us summer camp long drive lot unexpect detour mom patient drove care avoid accid arriv camp safe abl great time patienc valuabl abil import abl use difficult situat learn patienc valuabl skill im proud abl practic
158,158,7,first realli angri cut traffic turn intersect saw mother push stroller babi close intersect babi wave arm around scream mad way want yell angri patient sat wait light turn green saw mother turn corner get front honk horn could tell angri also patient wait light chang drove away nice see show sometim thing happen cant control alway control reaction glad patient even though woman front angri
159,159,7,sever peopl wait line buy ticket movi maria tom shannon turn maria wasnt give would wait turn tom turn shannon would step front tell maria turn maria would respond tom pleas ive wait long eventu shannon enough snap maria okay ill give give shannon said maria face show surpris quickli agre hand ticket shannon felt bad knew impati
160,160,7,littl parent alway said someth wasnt suppos realli realli patient would tell sit get told time would listen knew didnt would get realli angri alway tri patient alway harder tri someth realli realli want exampl play friend want go side playground would realli patient wait parent say okay home could usual get want pretti easili patient isnt alway easi sometim feel like cant stand wait especi im wait someth realli want time ive learn worth patient worth let thing happen way worth happi memori stick long time
161,161,7,patienc import virtu one difficult master sometim peopl get impati quickli lead get angri frustrat howev patient person experi difficulti without complain know thing eventu work refrain get ahead one time patient person wait airport flight wait quit start get littl bit impati howev knew would worth end got destin wait flight final announc start make way gate unfortun lot traffic took lot longer expect get gate end patient person miss flight howev angri frustrat knew would work end
162,162,7,know need patient want project turn perfect start work know worth wait know patient want perfect know get
163,163,7,rememb younger alway felt like alway wait someth would wait room doctor offic wait turn wait mom finish work could go would wait friend famili sometim would take realli long time anyth happen learn patient would sit listen music read book anyth keep busi sometim thing would happen realli fast would realli anxiou learn patient work end im confid person know handl difficult situat even though thing dont alway happen way want know alway withstand challeng
164,164,7,grandfath alway patient lot perspect alway handl difficult situat aplomb even sick never complain fact often took time explain thing grandmoth way would understand even child could see patienc qualiti want cultiv knew patient wasnt alway easi worth rememb go store grandmoth run late line long grandfath took deep breath walk forward amaz patienc didnt get angri frustrat kept move forward even though line long grandmoth abl get need patienc valuabl trait grandfath perfect exampl tri practic thing tough know make big differ
165,165,7,learn patient valuabl skill use mani differ situat one time patient parent put timeout homework anoth time patient wait line store final friend lauren alway patient littl brother
166,166,7,sherrington babysit day someth alway seem get way fun pour ovaltin kinder egg wasnt enough also deal fussi littl toddler throw fit whenev didnt get way thought day couldnt get wors older sister call ask come watch kid sherrington hesit didnt want add anoth hour alreadi long day soon enough realiz couldnt resist chanc spend qualiti time famili pick phone gave sister quick excus end worth patient spend afternoon love one
167,167,7,patienc virtu virtu patienc someth hard peopl learn difficult handl difficult situat remain calm thing arent go way patienc valuabl virtu someth essenti success area life time patienc definit requir exampl wait line groceri store may wait long time wait turn game tenni may wait long time actual play case patienc definit import sometim patienc necessari exampl sometim walk away situat go work sometim persist wait right time breakthrough barrier sometim give move situat requir patienc patienc also help area life exampl help tri achiev goal tri learn new skill patienc import tri make
168,168,7,upon time princess visit crowd citi want take much could also impati would walk peopl tri take pictur even werent particularli interest quickli becam clear go abl see much want constantli run around one day walk citi happen come across boy patient sit ground leg stretch front draw pencil newspap astound restraint easili seem captur cityscap soon learn boy name tim artist impress work bought copi book learn alway prepar take time captur beauti citi even took littl longer inspir patienc start see thing new light tim great exampl patienc abl find beauti even challeng situat
169,169,7,younger sister get marri realli excit long time come want find love life start famili though close knew would go lot big day thing couldnt even imagin day wed call frantic tell dress ruin essenti pick night wed start rain needless say dream wed quickli turn nightmar heart went understood patient husband end amaz ceremoni spite disast dress moment never forget grate sister abl patient day
